idProduit,nomProduit,categorieProduit,prix,poidsExpedition,venteAmazone
015cc42a8e93b15bcea9425d63ecbbd9,"Tru-Ray Heavyweight Construction Paper Pad, 10 Assorted Colors, 9 x 12, 40 Sheets","Arts, Crafts & Sewing | Crafting | Paper & Paper Crafts | Paper | Construction Paper",10.10,1.0,1
5cd05b430c605fa639ba1feccc611e11,"Tru-Ray Heavyweight Construction Paper, Hot Assorted Colors, 12 x 18, 50 Sheets","Arts, Crafts & Sewing | Crafting | Paper & Paper Crafts | Paper | Construction Paper",10.01,1.65,1
670e3b378de6d0a61b18c63a1eb9aaa6,"Pacon 103064 Tru-Ray Construction Paper, 18in. x 24in, Magenta","Arts, Crafts & Sewing | Crafting | Paper & Paper Crafts | Paper | Construction Paper",14.42,3.65,1
5a65437bf05d012e1bad873dc66df8b9,"Riverside 3D Construction Paper, Green, 9 x 12, 50 Sheets","Arts, Crafts & Sewing | Crafting | Paper & Paper Crafts | Paper | Construction Paper",7.42,0.7,1
07a913a737a6b888f17d81a7a1b20945,"Pacon Tru-Ray Construction Paper, Burgundy, 9 x 12, 50 Sheets Per Pack, 6 Packs","Arts, Crafts & Sewing | Crafting | Paper & Paper Crafts | Paper | Construction Paper",22.14,3.9,1
cedf1a509da48bcde833fa5daa78ebfa,"Pacon Tru-Ray Construction Paper, 18-Inches by 24-Inches, 50-Count, Red (103094)","Arts, Crafts & Sewing | Crafting | Paper & Paper Crafts | Paper | Construction Paper",8.29,3.65,0
5e1f2499c4b3df9f4bf4bdb9477ef905,"SunWorks Construction Paper, Dark Blue, 12 x 18, 100 Sheets","Arts, Crafts & Sewing | Crafting | Paper & Paper Crafts | Paper | Construction Paper",15.87,2.7,1
b9e1eee6255a765344ef736882429089,"Pacon Tru-Ray Construction Paper, Shocking Pink, 9 x 12, 50 Sheets Per Pack, 5 Packs","Arts, Crafts & Sewing | Crafting | Paper & Paper Crafts | Paper | Construction Paper",6.02,2.8,1
aa14c95f60ca31a0a309eb8cc0f9b9b0,"Pacon Tru-Ray Heavyweight Construction Paper, Violet, 12 x 18, 50 Sheets - PAC103041","Arts, Crafts & Sewing | Crafting | Paper & Paper Crafts | Paper | Construction Paper",6.73,1.85,1
4500e5e4c05616c2d7a4d183c1d04676,"Pacon Riverside 3D Construction Paper, White, 9 x 12, 50 Sheets Per Pack, 10 Packs","Arts, Crafts & Sewing | Crafting | Paper & Paper Crafts | Paper | Construction Paper",7.11,6.0,1
a2fd338e5d233163f7d529401cad8a44,CGSignLab 2474284_5absw_8x3_None |Open During Construction -Modern Gradient Premium Acrylic Sign | 8x3,"Arts, Crafts & Sewing | Crafting | Paper & Paper Crafts | Paper | Construction Paper",48.80,1.4,1
a5acd77479f5be81a85b13529cd4ca4f,"Tru-Construction Paper, 18 x 24, 50 Sheets","Arts, Crafts & Sewing | Crafting | Paper & Paper Crafts | Paper | Construction Paper",8.77,3.3,1
d9d02fb50e6e16eff9d6d938ca79a465,Pacon Rainbow Super Value Construction Paper (PAC94450),"Arts, Crafts & Sewing | Crafting | Paper & Paper Crafts | Paper | Construction Paper",11.57,1.95,1
f45121084f4252e0f5557292ab6edaee,"Bee Paper Company 926T30-8511 Bleedproof Marker Pad, 8-1/2-Inch by 11-Inch","Arts, Crafts & Sewing | Crafting | Paper & Paper Crafts | Paper | Construction Paper",9.99,1.15,1
bbf8b118ebbb6bf0a625df28fd528b67,"SunWorks Construction Paper, White, 9 x 12, 50 Sheets","Arts, Crafts & Sewing | Crafting | Paper & Paper Crafts | Paper | Construction Paper",2.09,0.7,1
7acde7047b6d2370c867babaa7836985,"Strathmore (27-140 STR-27-140 30 Sheet Kids Bright Construction Paper, 8.5 by 11.5","Arts, Crafts & Sewing | Crafting | Paper & Paper Crafts | Paper | Construction Paper",13.58,0.9,1
34b50e6c7b42c4761b3a37e345689dff,"SunWorks Heavyweight Construction Paper, 18 x 24 Inches, Pink, Pack of 50","Arts, Crafts & Sewing | Crafting | Paper & Paper Crafts | Paper | Construction Paper",7.39,2.55,1
f0670fcd77b03cf25861097b1047743a,"Riverside 3D Construction Paper, Holiday Green, 18 x 24, 50 Sheets","Arts, Crafts & Sewing | Crafting | Paper & Paper Crafts | Paper | Construction Paper",7.64,3.25,1
3809fe2dd1e472e12af779558bc10823,"Pacon PAC6590BN Lightweight Construction Paper Pad, 10 Assorted Colors, 9 x 12, 200 Sheets Per Pad, Pack of 3","Arts, Crafts & Sewing | Crafting | Paper & Paper Crafts | Paper | Construction Paper",9.15,6.4,1
0e9529eab4dd6eb04dca42699b5fe62e,"Pacon Tru-Ray Construction Paper, Yellow, 9 x 12, 50 Sheets Per Pack, 10 Packs","Arts, Crafts & Sewing | Crafting | Paper & Paper Crafts | Paper | Construction Paper",Total price:,9.3,1
